"","total_samples","probability","ob_same","P-value","P-value2","CI_lower","CI_upper"
"1",2058,0.0728862973760933,150,NA,NA,NA,NA
"2",1426,0.00210378681626928,3,NA,NA,NA,NA
"3",764,0.0693717277486911,53,NA,NA,NA,NA
"4",14,0,0,NA,NA,NA,NA
"5",610,0.114754098360656,70,NA,NA,NA,NA
"6",247,0,0,NA,NA,NA,NA
"7",5,0,0,NA,NA,NA,NA
"8",28,0,0,NA,NA,NA,NA
"9",2,0,0,NA,NA,NA,NA
"10",8,0,0,NA,NA,NA,NA
"11",1341,0,0,NA,NA,NA,NA
"12",93,0,0,NA,NA,NA,NA
"13",380,0.0315789473684211,12,NA,NA,NA,NA
"14",18,0,0,NA,NA,NA,NA
"15",34,0,0,NA,NA,NA,NA
"16",16,0,0,NA,NA,NA,NA
"17",5,0,0,NA,NA,NA,NA
"18",3,0,0,NA,NA,NA,NA
"19",2,0,0,NA,NA,NA,NA
"20",2,0,0,NA,NA,NA,NA
"21",2,0,0,NA,NA,NA,NA
"22",43,0,0,NA,NA,NA,NA
"23",7,0,0,NA,NA,NA,NA
"24",214,0,0,NA,NA,NA,NA
"25",22,1,22,NA,NA,NA,NA
"26",231,0,0,NA,NA,NA,NA
"27",46,0,0,NA,NA,NA,NA
"28",21,0,0,NA,NA,NA,NA
"29",37,0,0,NA,NA,NA,NA
"30",139,0,0,NA,NA,NA,NA
"31",96,0,0,NA,NA,NA,NA
"32",1,0,0,NA,NA,NA,NA
"33",16,0,0,NA,NA,NA,NA
"34",12,0,0,NA,NA,NA,NA
