"","primary_site","total_samples","probability","ob_same","P_value","CI_lower","CI_upper"
"1","breast",2058,0.0728862973760933,150,3.32063116524686e-11,0.0620271060864021,0.0849800297620177
"2","colorectum",1426,0.00210378681626928,3,4.91723799835072e-19,0.000434061725946839,0.00613573608655421
"3","skin",764,0.0693717277486911,53,0.0025412050254095,0.0523925712338657,0.0897608432893754
"4","lung",14,0,0,34,0,0.231635761650116
"5","pancreas",610,0.114754098360656,70,7.19115832931181e-14,0.0905568006727085,0.142752242170135
"6","kidney",247,0,0,0.00337125729140479,0,0.0148237646055962
"7","oral_cavity",5,0,0,34,0,0.521823750104981
"8","tongue",28,0,0,21.3175553635212,0,0.123436118500264
"9","mandible",2,0,0,34,0,0.841886116991581
"10","FOM",8,0,0,34,0,0.369416647552819
"11","prostate",1341,0,0,3.48854312380084e-22,0,0.00274706214807261
"12","midgut",93,0,0,1.83068887642626,0,0.0388889985342759
"13","liver",380,0.0315789473684211,12,20.2134442216596,0.0164216520068004,0.0545119451831824
"14","ovary",18,0,0,34,0,0.185301968137852
"15","nasopharynx",34,0,0,21.8720315129355,0,0.102817924259013
"16","femur",16,0,0,34,0,0.205907214207823
"17","humerus",5,0,0,34,0,0.521823750104981
"18","fibula",3,0,0,34,0,0.707598226178713
"19","tibia",2,0,0,34,0,0.841886116991581
"20","costa",2,0,0,34,0,0.841886116991581
"21","pelvis",2,0,0,34,0,0.841886116991581
"22","stomach",43,0,0,14.1381281325096,0,0.0822111211541385
"23","testis",7,0,0,34,0,0.409616397225003
"24","thyroid",214,0,0,0.0174149653803868,0,0.017090034374466
"25","brain",22,1,22,3.48157540192632e-30,0.845627487184425,1
"26","small_intestine",231,0,0,0.00764123530298315,0,0.0158423438765577
"27","cervix",46,0,0,8.98526104686618,0,0.0770618270519007
"28","penis",21,0,0,34,0,0.16109761521908
"29","adrenal_gland",37,0,0,13.7255473228694,0,0.0948905874149899
"30","bladder",139,0,0,0.244787770927639,0,0.0261896444342056
"31","esophagus",96,0,0,1.91233574233066,0,0.0376969216235875
"32","thymus",1,0,0,34,0,0.975
"33","uterus",16,0,0,34,0,0.205907214207823
"34","eye",12,0,0,34,0,0.264648469397051
